"id","企业名称","法定代表人","注册资本","成立日期","核准日期","营业期限","所属省份","所属城市","所属区县","统一社会信用代码","参保人数","企业类型","所属行业","注册地址","经营范围"
"537","深圳市讯方技术股份有限公司","戴毅","5,200万(元)","2001-04-18","2024-12-26","-","广东省","深圳市","南山区","91440300728541133Q","0人","股份有限公司(非上市)","计算机、通信和其他电子设备制造业","深圳市南山区招商街道沿山社区工业六路21号网谷创享大厦1栋A座1705","软件的技术开发、销售、维护及技术咨询；计算机信息系统集成的开发、相关产品销售及技术咨询服务(以上不含限制项目)；通讯产品及配套设备的技术开发；国内贸易（不含专营、专卖、专控商品）；通信设备的上门安装服务、技术维护（涉及凭资质许可的项目须取得资质许可后方可经营）；经营进出口业务(法律，行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）；教育信息咨询、企业管理咨询（不含限制项）；企业管理培训及信息技术培训(以上均不含学历教育培训，不含劳动技能培训、不含以职业技能为主的职业资格培训、职业技能培训、安全培训、职业技能培训）；供应链管理（不包括金融资产管理、信托、金融租赁、财务公司、货币经纪、消费金融等）。(以上法律，行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）^人力资源服务外包；人力资源管理咨询；人力资源测评；人才供求信息服务；人才招聘；委托推荐和招聘；就业择业指导；人才租赁；转让或派遣；劳务派遣服务。"
"538","安徽嘉科信息工程有限公司","李加兵","2,800万(元)","2020-07-02","2022-05-07","-","安徽省","合肥市","包河区","91340111MA2UYLA129","9人","有限责任公司(自然人独资)","软件和信息技术服务业","合肥市包河区南二环路199号信达好第坊8幢1504室","一般项目：信息系统集成服务；园林绿化工程施工；对外承包工程；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；安全技术防范系统设计施工服务；网络与信息安全软件开发；公共安全管理咨询服务；工程技术服务（规划管理、勘察、设计、监理除外）；互联网安全服务；软件开发；软件销售；计算机软硬件及辅助设备批发；教育咨询服务（不含涉许可审批的教育培训活动）；专业设计服务；建筑材料销售；电工器材销售（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）许可项目：建设工程施工；住宅室内装饰装修；建筑智能化系统设计；建设工程设计；建设工程勘察；电气安装服务；施工专业作业；建筑劳务分包（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）"
"539","江苏润开鸿数字科技有限公司","周红卫","21,052.6316万(元)","2022-10-11","2025-01-21","-","江苏省","南京市","雨花台区","91320100MABYR99E11","113人","有限责任公司","软件和信息技术服务业","南京市雨花台区软件大道168号2幢西九层905-916","许可项目：第三类医疗器械经营（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）
一般项目：软件开发；信息技术咨询服务；数据处理和存储支持服务；电子产品销售；计算机软硬件及辅助设备批发；计算机软硬件及辅助设备零售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；信息系统集成服务；计算机系统服务；通讯设备销售；教育咨询服务（不含涉许可审批的教育培训活动）；业务培训（不含教育培训、职业技能培训等需取得许可的培训）；第一类医疗器械销售；第二类医疗器械销售（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）"
"540","厦门网中网软件有限公司","蔡理强","11,750万(元)","2005-08-15","2021-06-15","2005-08-15 至 2035-08-14","福建省","厦门市","思明区","913502007760125199","237人","有限责任公司(自然人投资或控股)","软件和信息技术服务业","厦门市软件园望海路23号502单元","一般项目：软件开发；计算机系统服务；信息技术咨询服务；数据处理和存储支持服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；集成电路设计；广告制作；知识产权服务；招生辅助服务；信息咨询服务（不含许可类信息咨询服务）；企业管理咨询；会议及展览服务；计算机软硬件及辅助设备零售；数字文化创意内容应用服务；业务培训（不含教育培训、职业技能培训等需取得许可的培训）；教育咨询服务（不含涉许可审批的教育培训活动）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。许可项目：出版物零售；出版物互联网销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）。"
"541","安徽护网信息安全技术有限公司","张德伍","500万(元)","2019-08-19","2025-06-03","-","安徽省","合肥市","蜀山区","91340104MA2U19P31X","2人","有限责任公司(自然人投资或控股)","互联网和相关服务","安徽省合肥市高新区天乐社区服务中心天智路14号时代智谷创业园261室","网络信息安全技术研发、技术转让、技术咨询、技术服务、技术推广；计算机软硬件技术研发、销售、技术咨询、技术服务；计算机系统集成；信息安全信息咨询及服务；网络及信息安全设备安装与维护；网络工程；机械设备、网络设备、信息安全设备、电子科技产品、通讯设备销售及技术研发；计算机数据分析及处理；图像智能分析与处理。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"542","北京东大正保科技有限公司","季绯伽","2,000万(元)","2000-07-12","2024-01-18","-","北京市","市辖区","海淀区","911101087239566045","271人","有限责任公司(自然人投资或控股)","科技推广和应用服务业","北京市海淀区知春路1号1806室","技术开发、转让、咨询、服务、培训；医疗软件的技术推广；销售开发后的产品、计算机软硬件及外围设备、五金交电、机械电器设备；承接计算机网络工程；提供信息源服务；网络技术服务；预防保健咨询（须经审批的诊疗活动除外）；出租商业用房；教育咨询（中介服务除外）；零售国内版音像制品；设计、制作网络广告，利用www；chinaacc；com网站发布网络广告；利用互联网经营音像制品、动画等其他文化新产品；图书、电子出版物、音像制品批发、零售、网上销售；代理记账；代理记账；经营电信业务；人力资源服务。（市场主体依法自主选择经营项目，开展经营活动；代理记账、经营电信业务、人力资源服务以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）"
"543","安徽宏电信息技术有限公司","陶守山","8,000万(元)","2009-04-28","2025-05-26","2009-04-28 至 2039-04-27","安徽省","合肥市","蜀山区","913401006881291274","50人","有限责任公司(自然人独资)","批发业","安徽省合肥市蜀山区蜀山经济开发区天狮路588号MAX科技园（合肥蜀山）43栋104室","计算机软硬件、通讯设备、电子产品、建筑节能产品、教学仪器与装备的研发、销售；计算机系统工程、建筑智能化系统、楼宇自控、防盗监控、消防报警系统、建筑装饰工程及设计、安全技术防范工程、建筑节能工程、景观照明及人工环境工程、防雷工程及施工；技术咨询、技术服务、教育资源信息咨询；建筑劳务分包与服务（除劳务派遣）；机电设备安装及销售；档案数字化加工及服务；信息系统集成。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"544","合肥通盾电子科技有限公司","张志","360万(元)","2014-04-02","2024-08-19","2014-04-02 至 2034-04-02","安徽省","合肥市","蜀山区","9134010009733986XQ","13人","有限责任公司(自然人投资或控股)","零售业","合肥市高新技术开发区望江西路800号创新产业园一期A3-511","一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；计算机软硬件及辅助设备零售；电子产品销售；通讯设备销售；互联网设备销售；软件销售；云计算设备销售；信息安全设备销售；物联网设备销售；网络设备销售；数字视频监控系统销售；软件开发；人工智能基础软件开发；人工智能应用软件开发；软件外包服务；网络与信息安全软件开发；人工智能理论与算法软件开发；物联网技术研发；新材料技术研发；人工智能行业应用系统集成服务；互联网安全服务；互联网数据服务；物联网应用服务；网络技术服务；大数据服务；信息系统集成服务；物联网技术服务；数据处理服务；计算机系统服务；云计算装备技术服务；5G通信技术服务；安全技术防范系统设计施工服务；工程技术服务（规划管理、勘察、设计、监理除外）；民用航空材料销售；建筑材料销售；办公设备销售；工业控制计算机及系统制造；物联网设备制造；第二类医疗器械销售；卫生用品和一次性使用医疗用品销售；第二类医疗器械租赁（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）许可项目：建设工程设计；建筑智能化系统设计；建设工程施工；建筑劳务分包；施工专业作业；第二类增值电信业务（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）"
"545","深圳市韦特普科技有限公司","吕小豪","50万(元)","2017-08-02","2025-03-20","-","广东省","深圳市","龙岗区","91440300MA5ENC1T06","15人","有限责任公司","零售业","深圳市龙岗区南湾街道南岭村社区南新街29号1983创意小镇A1栋F277","3D打印机、3D扫描仪的销售；三维设计、模具设计；3D打印设备及耗材的销售；3D智能珠宝、珠宝首饰器材设备的销售，激光雕刻设备、激光切割设备、激光焊接设备、机电一体化设备的销售；信息系统集成技术的技术开发及技术服务；计算机软硬件、电子产品、仪器仪表的销售；国内贸易；经营进出口业务。租赁服务（不含许可类租赁服务）；教学用模型及教具销售；珠宝首饰批发；珠宝首饰零售；金属矿石销售；非金属矿及制品销售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）^无"
"546","安徽中茂信息科技有限公司","徐晓平","1,000万(元)","2015-07-01","2019-07-30","2015-07-01 至 2045-06-30","安徽省","合肥市","蜀山区","913401003488234701","8人","有限责任公司(自然人投资或控股)","软件和信息技术服务业","合肥市蜀山区黄山路659号西环商贸中心11幢北701","计算机软件开发及销售；系统集成、综合布线、机房设计；家用电器、办公设备、通讯设备、摄影器材、科教仪器、教育装备、办公用品、五金建材、文化体育用品、医疗设备、检测仪器、试验耗材、空调、暖通设备、楼宇自控设备、消防设备销售和服务；机电设备、通风设备销售；建筑工程、机电安装工程、消防工程、环境信息化工程、水电安装工程、校园自动化工程的施工和服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"547","北京华宇信息技术有限公司","郭颖","85,000万(元)","2009-09-09","2023-03-27","-","北京市","市辖区","海淀区","911101086950180540","1803人","有限责任公司(法人独资)","软件和信息技术服务业","北京市海淀区中关村东路1号院8号楼21层C2301、C2302","一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；计算机系统服务；信息系统集成服务；数据处理服务；软件开发；人工智能应用软件开发；人工智能基础软件开发；电子产品销售；通讯设备销售；计算机软硬件及辅助设备批发；机械设备销售；家用电器销售；化工产品销售（不含许可类化工产品）；信息安全设备制造；其他电子器件制造；货物进出口；技术进出口；进出口代理；信息技术咨询服务；信息系统运行维护服务；网络与信息安全软件开发；软件外包服务；人工智能基础资源与技术平台；区块链技术相关软件和服务；人工智能理论与算法软件开发；工业互联网数据服务；互联网安全服务；法律咨询（不含依法须律师事务所执业许可的业务）；软件销售；信息安全设备销售；第二类医疗器械销售；数字技术服务；安全技术防范系统设计施工服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：建筑智能化系统设计；建筑劳务分包；计算机信息系统安全专用产品销售；第一类增值电信业务；第二类增值电信业务；建设工程施工；电气安装服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）"
"548","上海卓越睿新数码科技股份有限公司","袭普照","6,000万(元)","2008-04-07","2025-04-21","-","上海市","市辖区","徐汇区","91310104672734648Y","480人","股份有限公司(非上市、自然人投资或控股)","软件和信息技术服务业","上海市徐汇区钦州北路1188号1幢901、902、903、904室","一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；计算机软硬件及辅助设备批发；计算机软硬件及辅助设备零售；电子产品销售；办公设备销售；数字内容制作服务（不含出版发行）；组织文化艺术交流活动；摄像及视频制作服务；企业管理咨询；信息咨询服务（不含许可类信息咨询服务）；社会经济咨询服务；礼仪服务；会议及展览服务；广告发布；广告设计、代理；广告制作；平面设计。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
许可项目：出版物零售。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）"
"549","安徽恒灿科技有限公司","张全","1,250万(元)","2015-02-06","2024-05-30","2015-02-06 至 2035-02-05","安徽省","合肥市","蜀山区","913401003280774230","56人","有限责任公司(自然人投资或控股的法人独资)","软件和信息技术服务业","合肥市高新区天柱路612-1号恒生阳光5楼504室","电子通讯设备及技术开发、维护、租赁、安装、销售；工程设计、施工服务；综合布线工程；计算机网络工程开发、施工；技术咨询服务、技术外包服务；计算机系统集成服务；应用软件开发；安防工程设计与施工；计算机及配件、仪器仪表、通信设备、复印机及耗材的销售、安装、维修。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"550","湖南惟楚科教实训室设备有限公司","吴恒","1,002万(元)","2012-06-18","2022-11-23","-","湖南省","长沙市","浏阳市","91430181597587042Q","15人","有限责任公司(自然人投资或控股)","文教、工美、体育和娱乐用品制造业","湖南省长沙市浏阳市荷花街道杨家弄村蒋家组","一般项目：教学用模型及教具制造；文具用品批发；文具用品零售；教学用模型及教具销售；金属结构制造；金属加工机械制造；金属切割及焊接设备制造；金属材料销售；金属制品销售；教学专用仪器制造；教学专用仪器销售；试验机制造；试验机销售；实验分析仪器制造；实验分析仪器销售；通用设备制造（不含特种设备制造）；科普宣传服务；文化场馆管理服务；会议及展览服务；建筑用金属配件销售；建筑用钢筋产品销售；建筑工程用机械销售；建筑材料销售；五金产品零售；第一类医疗器械销售；特种设备销售；第二类医疗器械销售；计算机软硬件及辅助设备批发；软件销售；电子产品销售；数字视频监控系统销售；信息安全设备销售；环境保护专用设备销售；工程和技术研究和试验发展；水利相关咨询服务；智能机器人销售；智能仪器仪表销售；人工智能应用软件开发；智能水务系统开发；人工智能基础软件开发；软件开发；专业设计服务；互联网设备销售；网络技术服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；工程技术服务（规划管理、勘察、设计、监理除外）；家用电器销售；橡胶制品销售；风机、风扇销售；制冷、空调设备销售；专用化学产品销售（不含危险化学品）；智能控制系统集成；网络与信息安全软件开发；机械设备销售；办公设备销售；汽车零配件零售；普通机械设备安装服务；家具安装和维修服务；家具销售；对外承包工程；安全技术防范系统设计施工服务；园林绿化工程施工；金属门窗工程施工；工程管理服务；3D打印服务；新材料技术研发；音响设备销售；导航、测绘、气象及海洋专用仪器销售；信息系统集成服务；集成电路销售；集成电路芯片及产品销售；集成电路设计；电子元器件批发；电子元器件零售；五金产品批发；承接总公司工程建设业务；机械零件、零部件销售；住宅水电安装维护服务；金属结构销售；家用电器安装服务；智能机器人的研发；工业自动控制系统装置销售；仪器仪表制造；计算机软硬件及辅助设备零售；仪器仪表销售；工业机器人销售（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。"
"551","北京唐风汉语教育科技有限公司","李劲松","428.1951万(元)","2006-11-02","2025-06-27","2006-11-02 至 2026-11-01","北京市","市辖区","海淀区","91110108795994474C","94人","有限责任公司(自然人投资或控股)","科技推广和应用服务业","北京市海淀区知春路一号学院国际大厦914室","一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；信息系统集成服务；组织文化艺术交流活动；会议及展览服务；计算机软硬件及辅助设备批发；货物进出口；技术进出口；进出口代理；数字创意产品展览展示服务；业务培训（不含教育培训、职业技能培训等需取得许可的培训）；信息咨询服务（不含许可类信息咨询服务）；数字内容制作服务（不含出版发行）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：信息网络传播视听节目；互联网信息服务；网络文化经营。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）"
"552","合肥岩泓智能科技有限公司","韩冬","800万(元)","2020-01-19","2023-08-15","-","安徽省","合肥市","包河区","91340104MA2UGK3254","9人","有限责任公司(自然人投资或控股)","科技推广和应用服务业","合肥市包河区黟县路667号金汇商务中心办公E座办1710","一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；信息技术咨询服务；信息系统集成服务；计算机系统服务；软件开发；软件销售；电子产品销售；网络设备销售；计算机软硬件及辅助设备批发；音响设备销售；建筑材料销售；建筑装饰材料销售；五金产品批发；电线、电缆经营；电子专用设备销售；文具用品批发；办公用品销售；教学用模型及教具销售；体育用品及器材批发；教学专用仪器销售；工艺美术品及礼仪用品销售（象牙及其制品除外）；农副产品销售；第一类医疗器械销售；第二类医疗器械销售；仪器仪表销售；家用电器销售；汽车零配件批发；安全系统监控服务；住房租赁；智能家庭消费设备销售；家具销售（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）许可项目：建筑智能化系统设计；出版物零售；住宅室内装饰装修；建设工程施工（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）"
"553","上海树维信息科技有限公司","郎金文","1,463万(元)","2011-08-26","2024-06-12","2011-08-26 至 2031-08-25","上海市","市辖区","长宁区","91310105582060600F","183人","有限责任公司(非自然人投资或控股的法人独资)","软件和信息技术服务业","上海市长宁区虹桥路1157号557室","计算机信息系统集成，计算机信息科技、计算机软件科技、计算机硬件科技、网络科技领域内的技术开发、技术转让、技术服务、技术咨询，计算机软硬件的销售（除计算机信息系统安全专用产品），计算机网络工程。 【依法须经批准的项目，经相关部门批准后方可开展经营活动】"
"554","安徽力瀚科技有限公司","周语","3,722.6277万(元)","2003-09-18","2022-06-27","2003-09-18 至 2050-12-31","安徽省","合肥市","蜀山区","91340100754850757X","164人","其他有限责任公司","软件和信息技术服务业","合肥市高新区黄山路632号信息办公楼1-6楼","计算机软、硬件开发、销售；网络工程及系统集成；安全技术防范工程设计、安装、销售；网站建设；网络产品、计算机数码产品、电子通讯、通信设备产品、教学仪器的批发、零售及维修服务；设计、制作、发布、代理各类广告；互联网信息服务；电子产品、数码产品、通讯产品网上销售；餐饮管理咨询、电子商务信息咨询、教育信息咨询、人力资源信息咨询；装饰工程设计与施工；装饰材料、建筑材料、家用电器、家居用品、电工电料、五金批发零售，物业管理、房屋维修；房屋租赁、设备租赁；软件技术咨询和技术服务、系统集成技术咨询和技术服务、弱电工程技术咨询和技术服务；信息化咨询、顶层设计、技术推广服务、维修服务、计算机系统服务；股权投资；智能家居、社区的设计和建设；汽车电子、集成电路设计开发销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"555","安徽创宁网络科技有限公司","马冬生","500万(元)","2010-09-30","2022-05-13","2010-09-30 至 2030-09-26","安徽省","合肥市","蜀山区","91340100563402396T","5人","有限责任公司(自然人独资)","研究和试验发展","安徽省合肥市经济技术开发区云谷路南、始信路西临湖社区Z33幢101室","一般项目：数字文化创意技术装备销售；信息系统集成服务；云计算设备销售；软件销售；软件开发；实验分析仪器销售；仪器仪表销售；大数据服务；工程和技术研究和试验发展；工业设计服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；人工智能基础软件开发；人工智能应用软件开发；人工智能行业应用系统集成服务；人工智能公共服务平台技术咨询服务；物联网应用服务；物联网技术服务；物联网技术研发；信息安全设备销售；智能控制系统集成；计算机系统服务；会议及展览服务；电子元器件与机电组件设备销售；电子专用设备销售；互联网数据服务；电力电子元器件销售；网络与信息安全软件开发；数据处理和存储支持服务；数据处理服务；信息技术咨询服务；信息咨询服务（不含许可类信息咨询服务）；网络技术服务；人工智能基础资源与技术平台（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）"
"556","六安市荣立升家具制造有限公司","赵光荣","2,000万(元)","2018-01-10","2024-06-06","-","安徽省","六安市","金安区","91341502MA2RFK386L","0人","有限责任公司(自然人独资)","家具制造业","六安市金安区双河镇工业集中区","一般项目：家具制造；家具安装和维修服务；家具销售；五金产品零售；办公用品销售；劳动保护用品销售；计算机软硬件及辅助设备零售；金属结构销售；劳务服务（不含劳务派遣）（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）"
"557","合肥安慕教育科技有限公司","徐海洋","1,000万(元)","2016-03-24","2024-07-05","2016-03-24 至 2066-03-23","安徽省","合肥市","蜀山区","91340100MA2MU4E555","16人","有限责任公司(自然人独资)","教育","安徽省合肥市经济技术开发区海恒社区宿松路以西、坝下路以南产融中心写字楼G1栋1512室","许可项目：电子出版物制作；出版物零售；出版物批发；出版物互联网销售；广播电视节目制作经营；建设工程施工；第二类增值电信业务（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；计算机软硬件及辅助设备零售；计算机软硬件及辅助设备批发；计算机系统服务；专业设计服务；网络技术服务；教育咨询服务（不含涉许可审批的教育培训活动）；市场营销策划；礼仪服务；组织文化艺术交流活动；会议及展览服务；摄影扩印服务；摄像及视频制作服务；信息系统集成服务；智能控制系统集成；教学专用仪器销售；仪器仪表销售；软件销售；家用电器销售；电子产品销售；电子专用设备销售；电力电子元器件销售；五金产品零售；电线、电缆经营；办公用品销售；通讯设备销售；信息咨询服务（不含许可类信息咨询服务）；数字内容制作服务（不含出版发行）；图文设计制作；业务培训（不含教育培训、职业技能培训等需取得许可的培训）（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）"
"558","安徽辉墨教学仪器有限公司","顾云","1,987.92万(元)","2014-01-07","2025-03-11","2014-01-07 至 2044-01-03","安徽省","合肥市","蜀山区","91340100090753398H","25人","有限责任公司(自然人投资或控股)","批发业","安徽省合肥市经济技术开发区锦绣社区天门路80号中国合肥人力资源服务产业园3号楼3403室","教学仪器、器材、电脑及配件、电子元件、实验室仪器技术的研发、销售及技术服务；实验室仪器、环保设备的研发及销售；静电除尘技术研发及产品销售、技术服务；计算机软件开发、销售、技术咨询及技术服务；安防工程；建筑智能化工程设计、施工及维护；通讯器材批发、零售、上门维修；通讯网络维护及技术服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"559","安徽玖通融创数据科技有限公司","盛媛","500万(元)","2022-11-01","2024-04-15","-","安徽省","合肥市","包河区","91340111MA8PMG7Y08","0人","其他有限责任公司","科技推广和应用服务业","安徽省合肥市经济技术开发区芙蓉路268号创新创业园4栋2楼8288室","一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；教育咨询服务（不含涉许可审批的教育培训活动）；业务培训（不含教育培训、职业技能培训等需取得许可的培训）；互联网销售（除销售需要许可的商品）；食品互联网销售（仅销售预包装食品）；个人互联网直播服务；人力资源服务（不含职业中介活动、劳务派遣服务）；劳务服务（不含劳务派遣）；创业投资（限投资未上市企业）；创业空间服务；园区管理服务；企业管理咨询；信息咨询服务（不含许可类信息咨询服务）；信息技术咨询服务；会议及展览服务（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）"
"560","安徽享晟科技有限公司","朱芳","500万(元)","2019-03-07","2022-09-02","-","安徽省","合肥市","蜀山区","91340104MA2TH1BR36","0人","有限责任公司(自然人独资)","零售业","安徽省合肥市蜀山区五里墩街道清溪路22号天一家园元祥阁10栋102号","软件开发、管理及制作；计算机软硬件的技术开发、销售、技术咨询；计算机辅助设备、办公设备、五金产品、电子产品、中央空调、通讯器材、汽车及配件、汽车保养设备、汽车装饰用品、家具、花卉、摄影器材、音响设备、包装材料、金属制品、建材、照明设备销售；计算机外围辅助设备维护；计算机信息系统集成；网络综合布线；室内外装饰装修工程设计与施工；房屋建筑工程设计与施工；实验室设备销售与安装；教育信息咨询；物业服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"561","合肥百墅智能科技有限责任公司","李长峰","5万(元)","2022-07-26","2025-03-04","-","安徽省","合肥市","瑶海区","91340102MA8P9PXM1K","0人","有限责任公司(自然人投资或控股)","科技推广和应用服务业","安徽省合肥市瑶海区大兴镇乐水路99号102室","一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；家具销售；家具零配件销售；家具安装和维修服务；家用电器销售；家用电器安装服务；专业设计服务；办公设备销售；办公用品销售；办公设备耗材销售；办公服务；办公设备租赁服务；计算机及办公设备维修；园林绿化工程施工；建筑装饰材料销售；五金产品零售；建筑材料销售；直饮水设备销售；五金产品批发（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）"
"562","安徽群绘新材料有限公司","吴艳桃","5万(元)","2022-03-14","2025-07-03","-","安徽省","蚌埠市","蚌山区","91340303MA8NTCJM4Q","0人","有限责任公司(自然人独资)","科技推广和应用服务业","安徽省蚌埠市蚌山区万达广场二期A1号楼1719室","一般项目：新材料技术推广服务；工程塑料及合成树脂销售；涂料销售（不含危险化学品）；合成材料销售；再生资源销售；五金产品零售；五金产品批发；建筑材料销售；建筑防水卷材产品销售；建筑装饰材料销售；金属材料销售；建筑用钢筋产品销售；电线、电缆经营；劳动保护用品销售；润滑油销售；环境保护专用设备销售；办公用品销售；保温材料销售；防腐材料销售；消防器材销售；包装材料及制品销售；通用设备修理；木材加工；建筑用木料及木材组件加工；润滑油加工、制造（不含危险化学品）；建筑用石加工；机械零件、零部件加工（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）"
"563","天津博诺智创机器人技术有限公司","周旺发","1,000万(元)","2016-11-22","2022-09-30","-","天津市","市辖区","津南区","91120112MA05LLRQ8Y","80人","有限责任公司","科技推广和应用服务业","天津市津南区北闸口镇天乐创新产业园2号楼","一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；工业机器人制造；工业机器人销售；工业机器人安装、维修；智能机器人的研发；智能机器人销售；服务消费机器人制造；服务消费机器人销售；特殊作业机器人制造；智能家庭消费设备制造；智能家庭消费设备销售；智能农业管理；物联网应用服务；智能仪器仪表制造；智能仪器仪表销售；虚拟现实设备制造；人工智能行业应用系统集成服务；智能控制系统集成；软件开发；软件销售；信息系统集成服务；机械零件、零部件加工；会议及展览服务；业务培训（不含教育培训、职业技能培训等需取得许可的培训）；租赁服务（不含许可类租赁服务）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）"
"564","芜湖安普机器人产业技术研究院有限公司","许德章","500万(元)","2014-08-21","2024-06-18","2014-08-21 至 2064-08-20","安徽省","芜湖市","鸠江区","913402073956638955","13人","其他有限责任公司","研究和试验发展","安徽省芜湖市鸠江区清水街道安徽工程大学国际工程师学院校区创业孵化中心2#楼一层","机器人整机、零部件和作业工具的研发、制造和销售；机器人技术研发、技术转让，机器人领域技术咨询服务；自动化生产线工程设计、制造和销售；教学仪器研发、生产和销售；计算机软硬件开发、销售及相关技术咨询、技术转让、技术服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）***"
"565","安徽宝信信息科技有限公司","李广垒","1,333.33万(元)","2012-12-17","2025-07-02","2012-12-17 至 2042-12-17","安徽省","合肥市","蜀山区","913401000597176200","22人","有限责任公司(自然人投资或控股)","软件和信息技术服务业","安徽省合肥市习友路3333号中国（合肥）国际智能语音产业园创意孵化楼三层","计算机软硬件研发、销售、安装；计算机技术及信息技术服务；系统集成；综合布线工程；机器人、人工智能产品研发、生产、销售与安装；智能语音技术开发、推广、转让、咨询、销售与服务；智慧校园、智慧教室、智慧交通系统研发、设计、施工、安装及服务；汽车整车、汽车零部件的研发、生产、销售；智能城市化系统研发及管理；建筑智能化系统设计、安装及服务；建筑装修装饰工程、安全技术防范工程、景观照明工程、建筑节能工程的设计、施工；人力资源咨询；企业管理咨询、汽车驾驶培训、互联网广告制作及发布。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
