"id","company_name","company_type","business_status","establishment_date","approval_date","legal_representative","registered_capital","company_size","business_scope","registered_address","business_term","source","taxpayer_identification_number","business_registration_number","organization_code","contact_phone","email","taxpayer_qualification","province","city","district","website_link","industry"
"11","合肥正和生态农业专业合作社","农民专业合作社","存续","11/10/2011","8/11/2011","刘炎忠","10000000",,"以本社成员为主要服务对象，提供农业生产资料购买，农产品（除专项审批）销售、贮藏，苗木种植、销售以及与农业生产经营有关的技术、信息服务。","安徽省合肥市新站区磨店乡群治村夏小郢村民组","2011-10-11至无固定期限","马克数据网","933401005845517615","340108NA001005X","58455176-1","0551-4248649;0551-67691528;13966684566","4248649@qq.com|1235685954@qq.com|2316209261@qq.com|619596364@qq.com",,"安徽省","合肥市","瑶海区",,"农业"
"12","安徽怀禾生态农业开发有限公司","有限责任公司(自然人投资或控股)","存续","25/3/2014","9/3/2019","卢松杰","10000000",,"水稻、苗木、花卉、果树、蔬菜、经济作物的销售；绿色农产品的开发；现代农业技术推广；旅游项目开发；水上运动项目投资开发；观光农业开发；休闲垂钓服务；园林绿化工程、水道、水渠工程、乡村道路工程、土地平整工程的设计及施工。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","合肥市瑶海区张洼路金座嘉园3幢304室","2014-03-25至2044-03-24","马克数据网","91340122096169803R","340123000093716","09616980-3","13033004252;13721044652","861803908@qq.com|25438875662@qq.com|2543887566@qq.com|2573887566@qq.com",,"安徽省","合肥市","瑶海区",,"农业"
"13","安徽润景农业科技发展有限公司","有限责任公司(自然人独资)","注销","3/7/2015","22/2/2022","王道惠","55100000",,"农作物、瓜果蔬菜、草坪、盆景的种植培养（限分公司经营）及销售；园林绿化施工；农家乐、观光旅游(限分公司经营)；家禽、水产、农用机械、农具、化肥的销售；农业科技技术的开发、咨询及技术转让；农业信息咨询服务。(依法须经批准的项目，经相关部门批准后方可开展经营活动)","合肥市瑶海区临泉路璟泰大厦1801室","2015-07-03至无固定期限","马克数据网","91340100348831438Y","340100001297508","34883143-8","0551-64319288;13365608777;18130072510","460807712@qq.com|827202645@qq.com",,"安徽省","合肥市","瑶海区",,"农业"
"14","安徽省啖源农业科技有限责任公司","有限责任公司(自然人投资或控股)","存续","25/10/2017","15/12/2021","江胜","6000000",,"农业技术开发及转让；谷物、薯类、油料、豆类、蔬菜、花卉、苗木、水果、坚果、茶叶的种植、采购、加工及销售；畜、禽、水产品的养殖、采购、加工及销售；中药材的种植、加工；农业观光旅游；预包装食品的批发；大米分装；商务信息咨询；普通道路货物运输（除快递）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","安徽省合肥市瑶海区龙兴苑小区7号楼106室一层、107、108室","2017-10-25至无固定期限","马克数据网","91340100MA2Q3H2D68","340100002094097","MA2Q3H2D-6","0551-62824274;14755185200;15705694975;15955112114","2655288544@qq.com|513248951@qq.com|1271234176@qq.com|2842511753@qq.com","一般纳税人","安徽省","合肥市","瑶海区",,"农业"
"15","合肥市瑶海区广维农业技术服务中心","个体工商户","存续","18/5/2022","18/5/2022","夏维成",,,"一般项目：谷物种植；蔬菜种植；农业机械服务；农作物栽培服务；农作物收割服务；农业生产托管服务（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）","安徽省合肥市瑶海区大众路春江苑6栋1-113室","2022-05-18至无固定期限","马克数据网","92340102MA8P24567U","340102601561870","MA8P2456-7","15656579719",,,"安徽省","合肥市","瑶海区",,"农业"
"16","合肥稳安生态农业专业合作社","农民专业合作社","存续","12/12/2011","12/12/2011","殷宏兵","2000000",,"以本社成员为主要服务对象，提供农业生产资料购买，农产品（除专项审批）销售、贮藏，苗木种植、销售以及与农业生产经营有关的技术、信息服务。","安徽省合肥市新站区磨店乡磨店村李东村民组","2011-12-12至无固定期限","马克数据网","933401005872305849","340108NA001009X","58723058-4","0551-4248649;13856079823","935546723@qq.com|13856079823@qq.com|2689592714@qq.com|13856079823@139.com|794537972@qq.com",,"安徽省","合肥市","瑶海区",,"农业"
"17","合肥林梅生态农业专业合作社","农民专业合作社","存续","17/1/2012","10/4/2012","张林梅","2000000","小于50人","以本社成员为主要服务对象，提供农业生产资料购买，农产品（除专项审批）销售、贮藏，苗木种植、销售以及与农业生产经营有关的技术、信息服务。","安徽省合肥市新站区磨店乡磨店村沙中村民组","2012-01-17至无固定期限","马克数据网","933401005901577281","340108NA001011X","59015772-8","0551-4248649;13965051968;18226653337","1235685954@qq.com|478914813@qq.com",,"安徽省","合肥市","瑶海区",,"农业"
"18","合肥民合生态农业专业合作社","农民专业合作社","注销","28/5/2012","29/3/2021","万民合","1500000","小于50人","以本社成员为主要服务对象，提供农业生产资料购买，农产品（除专项审批）销售、贮藏，苗木种植、销售以及与农业生产经营、园林绿化有关的技术、信息服务。","安徽省合肥市新站区磨店乡会棚村葛小郢","2012-05-28至无固定期限","马克数据网","93340100051474337Y","340108NA001013X","05147433-7","0551-4248649;15222910800","1235685954@qq.com|1025559168@qq.com|1025559168@qq.vom|abcxyz@baidu.com|15222910800@139.com",,"安徽省","合肥市","瑶海区",,"农业"
"19","合肥市华联农业科技开发有限公司","有限责任公司(自然人投资或控股)","存续","9/9/2002","7/7/2016","沈业宏","2000000","小于50人","农作物育种与研究；农业科技开发、咨询服务；主要农作物常规种子、非主要农作物种子生产、销售（在许可证有效期内经营）；农副产品（除粮油）销售；食用菌及其菌种的销售。","安徽省合肥市瑶海区和县路新安江花园4栋102室","2002-09-09至2032-12-31","马克数据网","91340100743058350E","340100000033982","74305835-0","0551-64419507","hlny-127@163.com|hlny_127@163.com","一般纳税人","安徽省","合肥市","瑶海区","www.hfhlny.com","农业"
"20","安徽荒草圩生态农业有限公司合肥分公司","有限责任公司分公司(自然人投资或控股)","注销","15/8/2014","10/9/2014","李伟",,,"农作物销售（除专项许可）。","合肥市瑶海区来安家园2幢2501室","2014-08-15至无固定期限","马克数据网","91340100MA8L80M63A","340100001060934","MA8L80M6-3",,,,"安徽省","合肥市","瑶海区",,"农业"
"21","合肥珍峰生态农业专业合作社","农民专业合作社","存续","10/2/2012","10/2/2012","陶云峰","2000000",,"以本社成员为主要服务对象，提供农业生产资料购买，农产品（除专项审批）销售、贮藏，苗木种植、销售以及与农业生产经营有关的技术、信息服务。","安徽省合肥市新站区磨店乡喻岗村卫庄队","2012-02-10至无固定期限","马克数据网","93340100590185913L","340108NA001012X","59018591-3","0551-67698288;13515606173","2636969803@qq.com|3252183986@qq.com|1551230497@qq.com",,"安徽省","合肥市","瑶海区",,"农业"
"22","合肥三义园林有限责任公司","有限责任公司(自然人投资或控股)","吊销","28/11/2006","1/12/2009","朱华东","300000",,"园林规划、设计、施工；花卉、苗木种植、销售。","安徽省合肥市铜陵路326号","2006-11-28至2036-12-31","马克数据网","91340100MA2X5GDG5U","3401002033261","MA2X5GDG-5",,,,"安徽省","合肥市","瑶海区",,"农业"
"23","合肥瑶海区光荫里花卉经营部","个体工商户","存续","28/11/2016","28/11/2016","王兰","100000",,"花卉、预包装食品、礼品销售（依法须经批准的项目，经相关部门批准后方可开展经营活动）。","合肥市瑶海区长江东路1137号安徽圣大国际商贸中心5-1010室","2016-11-28至无固定期限","马克数据网","92340102MA2N49X83M","340102600640549","MA2N49X8-3","18605650710",,,"安徽省","合肥市","瑶海区",,"农业"
"24","合肥市瑶海区瑶雨花店","个体工商户","注销","10/9/2019","9/12/2021","柏冬梅",,,"鲜花、绿植销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","合肥市瑶海区长淮街道长淮新村17栋303",,"马克数据网","92340102MA2U3KKH5R","340102601026081","MA2U3KKH5","18156017833",,,"安徽省","合肥市","瑶海区",,"农业"
"25","安徽福照财农产品商贸有限公司","有限责任公司(自然人投资或控股)","存续","23/1/2018","23/1/2018","许得才","5000000",,"蔬菜、水果及坚果、农副产品销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","安徽省合肥市瑶海区周谷堆大兴农产品物流园蔬菜交易中心山芋山药区38号仓铺","2018-01-23至无固定期限","马克数据网","91340102MA2RG7JC0B","340102000057885","MA2RG7JC-0","13956958778;18133604289","231423425@139.com|2438103794@qq.com",,"安徽省","合肥市","瑶海区",,"农业"
"26","安徽龘龘果品有限公司隆岗店","有限责任公司分公司(自然人投资或控股)","存续","14/9/2018","19/11/2018","张燕",,,"水果、农副产品、工艺礼品收购、批发、零售及配送服务；水果种植；果树培育；水果分装及包装、收购及销售；预包装食品销售；自营或代理各类商品和技术的进出口业务（国家限定企业经营禁止进出口的商品和技术除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","安徽省合肥市瑶海区合裕路1247号1幢一楼","2018-09-14至无固定期限","马克数据网","91340102MA2T2NJ367","340102000126307","MA2T2NJ3-6","15905696888;17505517650","995795176@qq.com",,"安徽省","合肥市","瑶海区",,"农业"
"27","合肥泽禾农业发展有限公司","有限责任公司(自然人投资或控股)","存续","12/12/2022","12/12/2022","唐军","2000000",,"一般项目：蔬菜种植；新鲜蔬菜零售；新鲜水果零售；鲜肉零售；食用农产品零售；食用农产品批发；农副产品销售（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）","安徽省合肥市瑶海区百大周谷堆粮油区C十八栋十一号","2022-12-12至无固定期限","马克数据网","91340102MA8PTKE22L",,"MA8PTKE2-2","18955156830","18955156830@qq.com",,"安徽省","合肥市","瑶海区",,"农业"
"28","合肥市瑶海区穆诗雨的盆景店","个体工商户","存续","13/7/2021","13/7/2021","穆诗雨",,,"一般项目：工艺美术品及收藏品零售（象牙及其制品除外）；园艺产品销售；礼品花卉销售；工艺美术品及礼仪用品销售（象牙及其制品除外）（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）（依法须经批准的项目，经相关部门批准后方可开展经营活动）","合肥市瑶海区明光路街道裕丰花鸟市场古玩城1-8","2021-07-13至无固定期限","马克数据网","92340102MA8N0D5J51","340102601371543","MA8N0D5J-5",,,,"安徽省","合肥市","瑶海区",,"农业"
"29","合肥朱山观光农业有限责任公司","有限责任公司(自然人投资或控股)","存续","27/10/2017","27/10/2017","彭克龙","3000000",,"蔬果、苗木、花卉种植；观光农业服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","合肥市新站区瑶海社区三合村朱西组","2017-10-27至2047-10-26","马克数据网","91340100MA2Q3J0P7H","340108000185804","MA2Q3J0P-7","13956000032","13956000032@163.com",,"安徽省","合肥市","瑶海区",,"农业"
"30","合肥市瑶海区时草令中药材销售经营部","个体工商户","存续","4/4/2023","4/4/2023","樊远近",,,"一般项目：地产中草药(不含中药饮片）购销；互联网销售（除销售需要许可的商品）；食品互联网销售（仅销售预包装食品）；农副产品销售；初级农产品收购；食用农产品初加工；特殊医学用途配方食品销售；保健食品（预包装）销售；中医养生保健服务（非医疗）；食用农产品零售；谷物销售；食用农产品批发（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）","安徽省合肥市瑶海区站前路中绿广场二期商办a704室","2023-04-04至无固定期限","马克数据网","92340102MA8Q9GAT9J","340102601780116","MA8Q9GAT-9",,,,"安徽省","合肥市","瑶海区",,"农业"
"31","合肥市瑶海区西梅鲜花店","个体工商户","存续","19/5/2022","19/5/2022","彭浩然",,,"一般项目：礼品花卉销售（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）","安徽省合肥市瑶海区张集路大兴新居C区7号商101室","2022-05-19至无固定期限","马克数据网","92340102MA8P29LE8G","340102601562557","MA8P29LE-8",,,,"安徽省","合肥市","瑶海区",,"农业"
"32","陕西沣渭园林有限公司安徽分公司","有限责任公司分公司(自然人投资或控股)","注销","8/3/2016","21/7/2017","王家西",,,"在总公司授权范围内经营。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","合肥市瑶海区和平路城市绿苑（东区）6幢607室","2016-03-08至无固定期限","马克数据网","91340100MA2MTLJK0N","340100001520383","MA2MTLJK-0",,,,"安徽省","合肥市","瑶海区",,"农业"
"33","安徽甘垦农业科技有限公司","有限责任公司(自然人独资)","存续","20/4/2021","18/1/2023","胡珍珍","5000000",,"一般项目：与农业生产经营有关的技术、信息、设施建设运营等服务；谷物种植；蔬菜种植；豆类种植；薯类种植；棉花种植；食用菌种植；花卉种植；油料种植；水生植物种植；园艺产品种植；水果种植；中草药种植；树木种植经营；水产品批发；水产品零售；农业机械销售；农业机械租赁；智能农业管理；农业园艺服务；农业机械服务；农业生产托管服务；农作物收割服务；肥料销售；化肥销售；农产品的生产、销售、加工、运输、贮藏及其他相关服务（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）许可项目：动物饲养；水产养殖（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）","安徽省合肥市瑶海区天长路57号藏龙阁3幢202室","2021-04-20至无固定期限","马克数据网","91340102MA8L8P2PXK","340102000421555","MA8L8P2P-X","13865910983;17895514253","373822201@qq.com|17895514253@qq.com",,"安徽省","合肥市","瑶海区",,"农业"
"34","合肥市瑶海区沈万三菌菇商行","个体工商户","注销","2/6/2020","3/6/2020","沈玉梅",,,"食用菌菇批发、零售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","安徽省合肥市瑶海区和平路周谷堆大兴农产品国际物流园内蔬菜区交易中心A12幢14＃仓铺",,"马克数据网","92340102MA2UUM8N09","340102601147180","MA2UUM8N0",,,,"安徽省","合肥市","瑶海区",,"农业"
"35","合肥苗渠农业发展有限公司","有限责任公司（自然人投资或控股的法人独资）","存续","18/1/2023","18/1/2023","李玉杰","1000000",,"一般项目：蔬菜种植；花卉种植；园艺产品种植；智能农业管理；农业生产托管服务；与农业生产经营有关的技术、信息、设施建设运营等服务；农业园艺服务；农业科学研究和试验发展；农业面源和重金属污染防治技术服务；农副产品销售；互联网销售（除销售需要许可的商品）（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）","安徽省合肥市瑶海区丰乐亭路名门皇马A2栋201室","2023-01-18至无固定期限","马克数据网","91340102MA8PXJP3XC",,"MA8PXJP3-X",,,,"安徽省","合肥市","瑶海区",,"农业"
"36","合肥市富园花卉有限公司","有限责任公司(自然人独资)","存续","18/12/2012","22/3/2023","焦长剑","100000",,"一般项目：花卉种植；礼品花卉销售；建筑用木料及木材组件加工；园区管理服务；信息咨询服务（不含许可类信息咨询服务）；普通货物仓储服务（不含危险化学品等需许可审批的项目）；仓储设备租赁服务；非居住房地产租赁；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；门窗制造加工；建筑装饰、水暖管道零件及其他建筑用金属制品制造（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）","合肥市新站区三十头社区四十头村四春路6号","2012-12-18至无固定期限","马克数据网","913401000652015165","340108000105543","06520151-6","13855108739;17354158220","1875934920@qq.com|13855108739@qq.com|13761585@qq.com",,"安徽省","合肥市","瑶海区",,"农业"
"37","合肥市姚氏花卉有限公司","有限责任公司(自然人投资或控股)","吊销","28/8/2006","21/12/2008","姚红俊","1000000",,"花卉苗木盆景生产、销售，园林景观设计、施工、养护咨询服务。","安徽省合肥市蚌埠路34号楼203室","2006-08-28至2036-08-10","马克数据网","91340100MA2XA38JXL","3401002031614","MA2XA38J-X",,,,"安徽省","合肥市","瑶海区",,"林业"
"38","合肥彦青生态农业专业合作社","农民专业合作社","存续","24/5/2011","4/6/2015","朱彦青","10000000","小于50人","以本社成员为主要服务对象，提供农业生产资料购买，农产品（除专项审批）销售、加工、贮藏以及与农业生产经营有关的技术、信息服务。","安徽省合肥市新站区磨店乡于湾村全中村民组","2011-05-24至无固定期限","马克数据网","93340100MA2N1EBG6X","340108NA001002X","MA2N1EBG-6","13605600001","13605600001@qq.com|13605600001@163.com|1235685954@qq.com|949125110@qq.com|45678@qq.com|13605600001@139.com",,"安徽省","合肥市","瑶海区",,"农业"
"39","合肥市瑶海区简爱花店鲜花店","个体工商户","注销","27/3/2023","22/5/2023","刘佳洁",,,"许可项目：食品销售；食品互联网销售；烟草制品零售（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：礼品花卉销售；工艺美术品及礼仪用品销售（象牙及其制品除外）；食品销售（仅销售预包装食品）；食品互联网销售（仅销售预包装食品）；互联网销售（除销售需要许可的商品）；婚庆礼仪服务（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）","安徽省合肥市瑶海区保利东郡5幢107室","2023-03-27至无固定期限","马克数据网","92340102MA8Q88QKX7","340102601770313","MA8Q88QK-X",,,,"安徽省","合肥市","瑶海区",,"农业"
"40","合肥市瑶海区未语花店","个体工商户","存续","14/8/2019","14/8/2019","莫文荣",,,"花卉、苗木、盆景、日用百货销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","安徽省合肥市瑶海区临泉路与王岗大道交口东南圣地雅阁1-16幢1001","2019-08-14至无固定期限","马克数据网","92340102MA2U0YK16L","340102601012253","MA2U0YK1-6","13655603641",,,"安徽省","合肥市","瑶海区",,"农业"
"41","合肥市瑶海区花之俏花卉店","个体工商户","存续","28/11/2019","2/6/2022","陈志梅",,,"许可项目：食品销售（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：花卉种植；礼品花卉销售；花卉绿植租借与代管理；婚庆礼仪服务；工艺美术品及收藏品批发（象牙及其制品除外）；工艺美术品及收藏品零售（象牙及其制品除外）；新鲜水果批发；新鲜水果零售（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）","合肥市瑶海区店岗新村125号","2019-11-28至无固定期限","马克数据网","92340102MA2UBR7Y49","340102601070767","MA2UBR7Y4","13721103144",,,"安徽省","合肥市","瑶海区",,"农业"
"42","合肥凌鹏农业发展有限公司","有限责任公司(自然人投资或控股)","存续","19/11/2020","19/11/2020","王建群","1000000",,"蔬菜种植；农产品种植；农业技术开发、技术咨询、技术交流、技术转让、技术推广、技术服务；果品、蔬菜批发；鲜肉批发；肉、禽、蛋、奶及水产品批发；鲜禽批发；鲜禽零售；肉、禽、蛋、奶及水产品零售；果品、蔬菜零售；农副产品零售；冷冻鱼；冷冻虾。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","安徽省合肥市瑶海区龙岗开发区汴河路与郎溪路交叉口南200米龙腾家园三期41栋102室","2020-11-19至无固定期限","马克数据网","91340102MA2WEXL18B","340102000375548","MA2WEXL1-8","13866768611","304954180@qq.com",,"安徽省","合肥市","瑶海区",,"农业"
"43","合肥市瑶海区花楹鲜花绿植店","个体工商户","存续","13/10/2020","13/10/2020","张盈盈",,,"百货零售；鲜花批发（含互联网批发）；礼品鲜花零售(含互联网零售)；盆栽花批发（含互联网批发）；花盆栽培植物零售(含互联网零售)；装饰物品批发（含互联网批发）；装饰物零售(含互联网零售)（依法须经批准的项目，经相关部门批准后方可开展经营活动）","合肥市瑶海区胜利路与临泉路交口向南100米","2020-10-13至无固定期限","马克数据网","92340102MA2WAC5K29","340102601224261","MA2WAC5K-2","18356765987",,,"安徽省","合肥市","瑶海区",,"农业"
"44","邓乐乐","个体工商户","存续","3/2/2021","3/2/2021","邓乐乐",,,"鲜花、干花销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","合肥市瑶海区长江东路1150号中房名都1-107","2021-02-03至无固定期限","马克数据网","92340102MA2WNK5X10","340102601283519","MA2WNK5X-1",,,,"安徽省","合肥市","瑶海区",,"农业"
"45","合肥市瑶海区正百草中药材经营部","个体工商户","存续","25/7/2019","25/7/2019","吴柏珍",,,"中药材种植及销售；茶籽油料种植、加工、销售；茶籽饼收购与销售；农副产品、土特产品销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","安徽省合肥市瑶海区临泉路与定远路交口风景苑2号楼22号","2019-07-25至无固定期限","马克数据网","92340102MA2TY8MA60","340102601002484","MA2TY8MA-6","18556537007",,,"安徽省","合肥市","瑶海区",,"农业"
"46","张红","个体工商户","存续","4/9/2017","4/9/2017","张红",,,"农场品零售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","合肥市瑶海区凤阳路集贸市内125号摊位","2017-09-04至无固定期限","马克数据网","92340102MA2NYYM69R","340102600718954","MA2NYYM6-9","15056098350",,,"安徽省","合肥市","瑶海区",,"农业"
"47","合肥一欣园艺有限公司","有限责任公司(自然人投资或控股)","注销","24/4/2019","4/12/2019","龚瑞涛","5000000",,"园林绿化工程、园林景观工程设计、施工、养护；园林绿化设备安装；苗木、花卉、草坪的培育、销售；花卉租赁；网络通讯工程、网络综合布线工程、网络监控工程设计、安装；通讯设备安装、上门维修；通讯技术服务；通讯设备、五金电料销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","安徽省合肥市瑶海区临泉路森海豪庭一栋802","2019-04-24至无固定期限","马克数据网","91340102MA2TN1TG0J","340102000190696","MA2TN1TG-0","18019942897",,,"安徽省","合肥市","瑶海区",,"农业"
"48","合肥落叶农业种植有限公司","有限责任公司(自然人投资或控股)","存续","17/4/2023","17/4/2023","汪晚霞","50000",,"一般项目：谷物种植；豆类种植；蔬菜种植；花卉种植；水果种植；谷物销售；农副产品销售；林业产品销售；农产品的生产、销售、加工、运输、贮藏及其他相关服务（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）","安徽省合肥市瑶海区临泉路与铜陵路交叉口安徽大市场6区2077号商铺","2023-04-17至无固定期限","马克数据网","91340102MA8QBDYH6E",,"MA8QBDYH-6",,,,"安徽省","合肥市","瑶海区",,"农业"
