"Notice_ID","Notice_Type","Tender_Number","Notice_Content","Successful_Bidder","Awarded_Amount","Tendering_Entity","Tendering_Address","Tendering_Contact_Person","Tendering_Contact_Information","Tendering_Agency","Agency_Address","Agency_Contact_Person","Agency_Contact_Information"
"11"," 中标结果公告"," 招标编号： HBSJ-202006TL-022007004"," 新建西安至十堰高速铁路湖北段建管甲供物资（第二批）防水板、止水带、防排水板招标（招标项目名称）止水带ZSD-02(第二次)（标段名称）于2022年09月17日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2022年09月17日至2022年09月19日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 河北汇海橡塑材料股份有限公司","50884566"," 武九铁路客运专线湖北有限责任公司"," 武汉市江夏区文化大道399号"," 李工 詹工"," 027-51127779"," 北京中铁国际招标有限公司"," 北京市海淀区西四环中路19号五棵松饭店北五层"," 汪朝阳","13971652973"
"12"," 中标结果公告"," 招标编号： HBSJ-202302TL-019001001"," 鄂北水资源二期工程霞家河分水口广水输水线路下穿鸡杨铁路工程施工（招标项目名称）EBSG标段（标段名称）于2023年03月25日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2023年03月25日至2023年03月27日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 武汉江腾铁路工程有限责任公司","5975011"," 武汉武铁工程项目管理有限公司"," 武汉市武昌区八一路2号"," 谢昌昌、戴挺"," 027-51125523"," 湖北路港工程咨询有限公司"," 武昌区民主路782号洪广大酒店A座14楼"," 于恩良","13898810173"
"13"," 中标结果公告"," 招标编号： HBSJ-202312FJ-223001001"," 省直机关综合服务中心机关三食堂维修改造项目工程总承包（EPC）（招标项目名称）省直机关综合服务中心机关三食堂维修改造项目工程总承包（EPC）（标段名称）于2024年03月05日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2024年03月05日至2024年03月07日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 湖北文旅建投工程有限公司、中信建筑设计研究总院有限公司","14988525"," 湖北省省直机关综合服务中心"," 湖北省武汉市武昌区洪山路57-5号"," 雷科长"," 027-87233918"," 湖北路港工程咨询有限公司"," 武汉市武昌区民主路782号洪广大酒店A座14楼"," 江雅琴","18995513217"
"14"," 中标结果公告"," 招标编号： HBSJ-202307GL-041001003"," 湖北交通投资集团有限公司参加麻城至阳新高速公路北延线等工程投资人投标合作单位遴选招标（招标项目名称）NBTJ-4标段（标段名称）于2023年07月29日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2023年07月29日至2023年07月31日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 中铁二十局集团有限公司","91"," 湖北交通投资集团有限公司"," 武汉市汉阳区四新大道26号湖北国展中心广场(东塔)35-38层"," 张女士"," 027-87574805"," 华杰工程咨询有限公司"," 武汉市硚口区硚口路160号武汉城市广场A座19层"," 潘梦夏"," 027-83858318"
"15"," 中标结果公告"," 招标编号： HBSJ-201911GL-003010001"," 宜都至来凤高速公路鹤峰东段桥梁荷载试验招标（招标项目名称）YLHFDQLHZ-1（标段名称）于2023年03月24日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2023年03月24日至2023年03月27日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 四川蜀工公路工程试验检测有限公司","2808750"," 湖北交投鹤峰东高速公路有限公司"," 湖北省恩施市施州大道310号"," 李先生"," 0718-8246333"," 北京中交建设工程咨询有限公司"," 北京市朝阳区北苑路170号凯旋城3号楼4层0501"," 王先生"," 010-51656899"
"16"," 中标结果公告"," 招标编号： HBSJ-202209SL-039001001"," 建始县柳树淌水库工程勘察设计（招标项目名称）建始县柳树淌水库工程勘察设计（标段名称）于2022年11月05日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2022年11月05日至2022年11月07日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 长江勘测规划设计研究有限责任公司","29965178"," 建始县水利局"," 建始县业州镇建设路34号"," 胡先生"," 0718-3920081"," 湖北江河盛腾工程咨询有限公司"," 湖北省武汉市东湖新技术开发区武大园路5-2号国家地球空间信息产业基地北主楼2单元12层04号"," 邹宇","18986718683"
"17"," 中标结果公告"," 招标编号： HBSJ-202307GL-041001002"," 湖北交通投资集团有限公司参加麻城至阳新高速公路北延线等工程投资人投标合作单位遴选招标（招标项目名称）NBTJ-3标段（标段名称）于2023年07月29日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2023年07月29日至2023年07月31日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 中铁大桥局集团有限公司","91"," 湖北交通投资集团有限公司"," 武汉市汉阳区四新大道26号湖北国展中心广场(东塔)35-38层"," 张女士"," 027-87574805"," 华杰工程咨询有限公司"," 武汉市硚口区硚口路160号武汉城市广场A座19层"," 潘梦夏"," 027-83858318"
"18"," 中标结果公告"," 招标编号： HBSJ-202303SL-009001002"," 湖北省漳河灌区“十四五”续建配套与现代化改造工程三干渠项目区剩余项目（招标项目名称）湖北省漳河灌区“十四五”续建配套与现代化改造工程三干渠项目区剩余项目信息化建设项目（标段名称）于2023年03月24日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2023年03月24日至2023年03月27日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 湖北楚禹水务科技有限公司","23870563"," 湖北省漳河灌区续建配套与现代化改造工程三干渠项目区建设管理办公室"," 湖北省荆门市"," 贺咏梅"," 0724-2490218"," 湖北华傲水利水电工程咨询有限责任公司"," 湖北省武汉市洪山区珞狮路286号"," 王敏"," 027-65390706"
"19"," 中标结果公告"," 招标编号： HBSJ-202312SL-032003001"," 巴东县钟坝河水库工程二标段、三标段、四标段（招标项目名称）巴东县钟坝河水库工程二标段：供水管线施工（标段名称）于2024年03月05日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2024年03月05日至2024年03月07日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 湖北中金兴水利水电工程有限公司","11915166.35"," 巴东县水利局"," 巴东县信陵镇北京大道223号"," 吴先生"," 0718-4337421"," 湖北德尚项目管理有限公司"," 巴东县信陵镇西壤坡社区棋盘石路5号安置点3楼"," 谭女士","15342846127"
"20"," 中标结果公告"," 招标编号： HBSJ-202209SY-006001002"," 2023年度长江干线航道整治建筑物维修项目EPC（招标项目名称）2023年度长江中下游航道整治建筑物维修项目EPC（标段名称）于2022年11月05日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2022年11月05日至2022年11月07日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 长江航道勘察设计院（武汉）有限公司、长江武汉航道工程局","60289267"," 长江航道局"," 湖北省武汉市解放公园路20号"," 李荣彬"," 027-82763625"," 湖北省招标股份有限公司"," 武昌区中北路108号兴业银行大厦五层"," 程毅"," 027-87273536"
"21"," 中标结果公告"," 招标编号： HBSJ-202312GL-169001001"," 智能建造系统技术研究科研课题研究服务招标（招标项目名称）ZNJZXT-1标段（标段名称）于2024年02月29日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2024年02月29日至2024年03月04日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 湖北交投科技发展有限公司、湖北省智慧交通研究院有限公司","4490000"," 湖北交投双柳长江大桥有限公司"," 湖北省武汉市新洲区双柳街道星谷大道姚家淌村"," 朱先生"," 027-89025866"," 华杰工程咨询有限公司"," 武汉市硚口区硚口路160号武汉城市广场写字楼19层"," 肖约"," 027-83617578"
"22"," 中标结果公告"," 招标编号： HBSJ-202307GL-041001001"," 湖北交通投资集团有限公司参加麻城至阳新高速公路北延线等工程投资人投标合作单位遴选招标（招标项目名称）NBTJ-2标段（标段名称）于2023年07月29日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2023年07月29日至2023年07月31日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 中交第四航务工程局有限公司","91"," 湖北交通投资集团有限公司"," 武汉市汉阳区四新大道26号湖北国展中心广场(东塔)35-38层"," 张女士"," 027-87574805"," 华杰工程咨询有限公司"," 武汉市硚口区硚口路160号武汉城市广场A座19层"," 潘梦夏"," 027-83858318"
"23"," 中标结果公告"," 招标编号： HBSJ-202303SL-009001003"," 湖北省漳河灌区“十四五”续建配套与现代化改造工程三干渠项目区剩余项目（招标项目名称）湖北省漳河灌区“十四五”续建配套与现代化改造工程三干渠项目区剩余项目工程监理和项目管理（标段名称）于2023年03月24日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2023年03月24日至2023年03月27日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 湖北瑞洪工程管理有限公司","4805000"," 湖北省漳河灌区续建配套与现代化改造工程三干渠项目区建设管理办公室"," 湖北省荆门市"," 贺咏梅"," 0724-2490218"," 湖北华傲水利水电工程咨询有限责任公司"," 湖北省武汉市洪山区珞狮路286号"," 王敏"," 027-65390706"
"24"," 中标结果公告"," 招标编号： HBSJ-202209SY-006002002"," 2023年度长江干线航道整治建筑物维修项目施工监理（招标项目名称）2023年度长江中下游航道整治建筑物维修工程施工监理（标段名称）于2022年11月04日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2022年11月04日至2022年11月07日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 武汉长航科达工程监理有限公司","1635000"," 长江航道局"," 湖北省武汉市解放公园路20号"," 李荣彬"," 027-82763625"," 湖北省招标股份有限公司"," 武昌区中北路108号兴业银行大厦五层"," 程毅"," 027-87273536"
"25"," 中标结果公告"," 招标编号： HBSJ-202312GL-171001001"," 宽幅钢箱梁悬索桥防灾韧性与智能提升关键技术研究科研课题研究服务招标（招标项目名称）XSQFZKY-1 标段（标段名称）于2024年02月29日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2024年02月29日至2024年03月04日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 湖北省交通规划设计院股份有限公司","2946750"," 湖北交投双柳长江大桥有限公司"," 湖北省武汉市新洲区双柳街道星谷大道姚家淌村"," 朱先生"," 027-89025866"," 华杰工程咨询有限公司"," 武汉市硚口区硚口路160号武汉城市广场写字楼19层"," 肖约"," 027-83617578"
"26"," 中标结果公告"," 招标编号： HBSJ-202207GL-058013001"," 当阳经枝江至松滋高速公路（含枝江百里洲长江大桥）枝江百里洲长江大桥涉水桥墩局部航道及边滩守护工程设计施工总承包（招标项目名称）DZSBTSH-1标段（标段名称）于2023年07月28日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2023年07月28日至2023年07月31日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 长江航道勘察设计院（武汉）有限公司、长江宜昌航道工程局","54002294.59"," 湖北交投当枝松高速公路有限公司"," 湖北省宜昌市枝江市仙女镇仙女小学乡村少年宫"," 刘女士"," 0717-4124212"," 华杰工程咨询有限公司"," 武汉市硚口区硚口路160号武汉城市广场A座19层"," 饶玉龙"," 027-83308925"
"27"," 中标结果公告"," 招标编号： HBSJ-202303SL-009001001"," 湖北省漳河灌区“十四五”续建配套与现代化改造工程三干渠项目区剩余项目（招标项目名称）湖北省漳河灌区“十四五”续建配套与现代化改造工程三干渠项目区剩余项目设计施工总承包（标段名称）于2023年03月24日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2023年03月24日至2023年03月27日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 荆门市水利工程开发总公司、湖北楚峰水电工程有限公司、湖北金浪勘察设计有限公司","186183792.7"," 湖北省漳河灌区续建配套与现代化改造工程三干渠项目区建设管理办公室"," 湖北省荆门市"," 贺咏梅"," 0724-2490218"," 湖北华傲水利水电工程咨询有限责任公司"," 湖北省武汉市洪山区珞狮路286号"," 王敏"," 027-65390706"
"28"," 中标结果公告"," 招标编号： HBSJ-202209SY-006001001"," 2023年度长江干线航道整治建筑物维修项目EPC（招标项目名称）2023年度长江上游航道整治建筑物维修项目EPC（标段名称）于2022年11月05日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2022年11月05日至2022年11月07日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 长江重庆航运工程勘察设计院、长江重庆航道工程局","22839027.36"," 长江航道局"," 湖北省武汉市解放公园路20号"," 李荣彬"," 027-82763625"," 湖北省招标股份有限公司"," 武昌区中北路108号兴业银行大厦五层"," 程毅"," 027-87273536"
"29"," 中标结果公告"," 招标编号： HBSJ-202312GL-172001001"," 钢结构桥面抗疲劳耐久性技术研究与应用科研课题研究服务招标（招标项目名称）GJGNJXKY-1 标段（标段名称）于2024年02月27日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2024年02月27日至2024年02月29日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 湖北省交通规划设计院股份有限公司","1258700"," 湖北交投双柳长江大桥有限公司"," 湖北省武汉市新洲区双柳街道星谷大道姚家淌村"," 朱先生"," 027-89025866"," 华杰工程咨询有限公司"," 武汉市硚口区硚口路160号武汉城市广场写字楼19层"," 肖约"," 027-83617578"
"30"," 中标结果公告"," 招标编号： HBSJ-202306FJ-097001002"," 湖北省高级人民法院审判法庭和诉讼服务综合楼项目初步设计（招标项目名称）湖北省高级人民法院审判法庭和诉讼服务综合楼项目初步设计(第二次)（标段名称）于2023年07月29日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2023年07月29日至2023年07月31日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 中信建筑设计研究总院有限公司","958000"," 湖北省高级人民法院"," 武汉市武昌区公正路8号"," 马海江"," 027-87220606"," 湖北省成套招标股份有限公司"," 武汉市武昌区东湖西路特2号"," 杨哲","13007723698"
"31"," 中标结果公告"," 招标编号： HBSJ-202101FJ-013007001"," 湖北省孝感市安陆市人民医院外科大楼新建项目外科大楼智能化设备采购及安装项目（招标项目名称）湖北省孝感市安陆市人民医院外科大楼新建项目外科大楼智能化设备采购及安装项目（标段名称）于2023年03月21日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2023年03月21日至2023年03月23日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 武汉兴得科技有限公司","7980833.9"," 安陆市人民医院"," 安陆市太白大道99号"," 仰斌"," 0712-5275619"," 武汉平安建设工程项目管理有限公司"," 武汉市江岸区沿江大道 228 号江景大厦 B 座10 楼"," 胡工","17373624150"
"32"," 中标结果公告"," 招标编号： HBSJ-202209SY-006002001"," 2023年度长江干线航道整治建筑物维修项目施工监理（招标项目名称）2023年度长江上游航道整治建筑物维修工程施工监理（标段名称）于2022年11月04日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2022年11月04日至2022年11月07日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 黑龙江黑航工程监理咨询有限公司","650000"," 长江航道局"," 湖北省武汉市解放公园路20号"," 李荣彬"," 027-82763625"," 湖北省招标股份有限公司"," 武昌区中北路108号兴业银行大厦五层"," 程毅"," 027-87273536"
"33"," 中标结果公告"," 招标编号： HBSJ-202312GL-167001001"," 大跨径钢-轻质超高性能混凝土（LUHPC）组合梁桥关键技术及应用科研课题研究服务招标（招标项目名称）SLLUHPCKY-1标段（标段名称）于2024年02月24日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2024年02月24日至2024年02月26日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 湖北省交通规划设计院股份有限公司、武汉理工大学","1258400"," 湖北交投双柳长江大桥有限公司"," 湖北省武汉市新洲区双柳街道星谷大道姚家淌村"," 朱先生"," 027-89025866"," 华杰工程咨询有限公司"," 北京市朝阳区安苑路20号世纪兴源大厦8层"," 肖约"," 027-83617578"
"34"," 中标结果公告"," 招标编号： HBSJ-202306TL-059001001"," 襄阳北一场接触网设备大修工程施工总价承包招标（招标项目名称）XGJCWSG标段（标段名称）于2023年07月22日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2023年07月22日至2023年07月24日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 中铁五局集团电务工程有限责任公司","8153791.39"," 中国铁路武汉局集团有限公司襄阳供电段"," 襄阳市樊城区前进路56号"," 刘涛","13217195172"," 中铁物总国际招标有限公司"," 北京市丰台区太平街道凤凰嘴街5号院2号楼鼎兴大厦A座10-11层"," 林军龙","17855355258"
"35"," 中标结果公告"," 招标编号： HBSJ-201904FJ-019010002"," 长投·云玺项目A地块公共区域精装修工程（招标项目名称）长投·云玺项目A地块公共区域精装修工程二标段（标段名称）于2023年03月22日在湖北省电子招标投标交易平台（网址：www.hbbidcloud.cn）、湖北省公共资源交易电子服务系统（网址：www.hbggzyfwpt.cn）（媒介名称）上发布了评标结果公示，公示期为2023年03月22日至2023年03月24日。招标人已经依法确定中标人并对本次招标的中标结果予以公告："," 红太阳建设股份公司","9369402.9"," 湖北长投恒基置业有限公司"," 武汉市江汉区建设大道招银大厦"," 周峻峰"," 027-87810031"," 湖北省成套招标股份有限公司"," 武汉市武昌区东湖西路特2号"," 陈伟","13476124430"
