"name","corporation","registed_capital","birth_date","manage_date","status","province","city","district","type","industry","USCC","TIN","registed_num","insured_persons","location","url","business"
"合肥先卓科技有限公司","张存志","518万人民币","2017-03-09","2017-03-09 至 无固定期限","存续","安徽省","合肥市","瑶海区","有限责任公司(自然人独资)","批发业","91340102MA2NEET78P","91340102MA2NEET78P","340102000019512","21","合肥市瑶海区都市科技工业园5栋3层东侧","http://xianzhuomall.cn","一般项目：信息系统集成服务；计算机软硬件及辅助设备批发；计算机软硬件及辅助设备零售；电子产品销售；通讯设备销售；五金产品零售；五金产品批发；日用家电零售；家用电器销售；办公设备销售；办公设备耗材销售；教学专用仪器销售；乐器零售；照相机及器材销售；礼品花卉销售；办公用品销售；文具用品零售；游艺及娱乐用品销售；体育用品及器材批发；体育用品及器材零售；日用百货销售；劳动保护用品销售；化妆品零售；个人卫生用品销售；厨具卫具及日用杂品批发；润滑油销售；电气设备销售；机械设备销售；建筑装饰材料销售；服装服饰零售；箱包销售；鞋帽零售；针纺织品销售；皮革制品销售；工艺美术品及礼仪用品销售（象牙及其制品除外）；第一类医疗器械销售；第二类医疗器械销售；消防器材销售；安防设备销售；汽车装饰用品销售；食品销售（仅销售预包装食品）；饲料原料销售；计算机及办公设备维修；电气设备修理；机械设备租赁；办公设备租赁服务；物业管理；物业服务评估；人力资源服务（不含职业中介活动、劳务派遣服务）；劳务服务（不含劳务派遣）；食用农产品零售（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）许可项目：出版物零售；住宅室内装饰装修；建设工程施工；第二类增值电信业务；食品销售；酒类经营（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）"
"铜陵市富美达家具有限公司","李同学","208万人民币","2016-06-13","2016-06-13 至 无固定期限","存续","安徽省","铜陵市","铜官区","有限责任公司(自然人独资)","家具制造业","91340700MA2MWWQ83Y","91340700MA2MWWQ83Y","340700000134929","0","安徽省铜陵市铜陵大市场20栋20b04-1号","-","家具加工、批发及零售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"合肥创资商贸有限公司","曹荣明","800万人民币","2014-04-01","2014-04-01 至 2044-04-01","存续","安徽省","合肥市","包河区","有限责任公司(自然人独资)","批发业","91340100096556504W","91340100096556504W","340100000946575","2","安徽省合肥市包河区马鞍山南路珠光花园4幢110","-","一般项目：电子产品销售；计算机软硬件及辅助设备零售；第二类医疗器械租赁；第二类医疗器械销售；医护人员防护用品零售；医护人员防护用品批发；医用口罩零售；医用口罩批发；日用口罩（非医用）销售；食品销售（仅销售预包装食品）；制冷、空调设备销售；专业保洁、清洗、消毒服务；普通机械设备安装服务；太阳能热利用产品销售；机械电气设备销售；计算机及办公设备维修；计算机软硬件及辅助设备批发；办公设备销售；办公设备租赁服务；办公设备耗材销售；办公用品销售；日用百货销售；文具用品批发；文具用品零售；工业工程设计服务；五金产品批发；五金产品零售；电气设备修理；通用设备修理；通讯设备销售；风机、风扇销售；智能家庭消费设备销售；日用电器修理；电子、机械设备维护（不含特种设备）；电器辅件销售；家用电器安装服务（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）"
"安徽锐博办公系统设备有限责任公司","吴杨","500万人民币","2015-12-09","2015-12-09 至 2045-12-08","存续","安徽省","合肥市","瑶海区","有限责任公司(自然人独资)","批发业","91340100MA2MRAC794","91340100MA2MRAC794","340100001449261","0","合肥市瑶海区长江东大街紫云府7幢1202室","-","办公系统、办公设备研发；办公用品、生活用品、电子产品、工艺礼品、电子信息化系统相关设备的销售及售后服务;家具的设计、研发、销售及售后服务;音乐、体育、美术用品、电教设备及相关产品的销售和售后服务;五金、电器及配件、建筑材料、健身器材、服装、医疗器械(一、二类)、预包装食品、保健食品、保健用品、计生用品、化妆品、卫生用品、消毒用品（除危险品）、杀虫用品、日用百货、化学试剂及助剂(除危险品)、玻璃仪器、电脑及配件、计算机软硬件销售;室内外装饰工程设计、施工;交通设施、路政设施、路灯以及照明系统的研发销售;环保设施、交通器材、停车设施、道路安全设施、交通安全配套设施、智能门禁系统销售及售后服务; 标识标牌销售及售后服务；医疗器械信息咨询。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"阜南荣泉易彩云商贸有限公司","张荣","200万人民币","2022-12-06","2022-12-06 至 无固定期限","存续","安徽省","阜阳市","阜南县","有限责任公司(自然人投资或控股)","零售业","91341225MA8PT0GUX0","91341225MA8PT0GUX0","341225000212857","0","安徽省阜阳市阜南县鹿城镇地城北路280号B区2栋1号","-","一般项目：办公用品销售；办公设备销售；文具用品零售；日用百货销售；体育用品及器材零售；办公设备耗材销售；家用电器销售；针纺织品及原料销售；游艺及娱乐用品销售；仪器仪表销售；劳动保护用品销售；日用品销售；眼镜销售（不含隐形眼镜）；钟表销售；箱包销售；户外用品销售；日用杂品销售；音响设备销售；工艺美术品及收藏品零售（象牙及其制品除外）；电子产品销售；玩具销售；网络设备销售；互联网销售（除销售需要许可的商品）（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）"
"合肥经济技术开发区易采购办公设备经营部","陈家云","-","2020-07-10","-","存续","安徽省","合肥市","合肥经济技术开发区","个体工商户","批发业","92340111MA2W0G5EX8","92340111MA2W0G5EX8","340113600071862","-","安徽省合肥市经济技术开发区高刘街道高刘农贸市场新华街（农贸市场向西南方向200米）","-","日用百货、数码电子产品、音响设备、家用电器、办公设备、办公用品、计算机软硬件及设备、打印机及耗材零售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"温州澳南实业有限公司","陈呈海","6000万人民币","2006-02-23","2006-02-23 至 9999-09-09","存续","浙江省","温州市","龙港市","有限责任公司（自然人投资或控股的法人独资）","印刷和记录媒介复制业","91330326785665212W","91330326785665212W","330327000013889","20","浙江省温州市龙港市东塘路505-561号综合楼、7幢","-","许可项目：文件、资料等其他印刷品印刷；食品销售(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准)。一般项目：交通及公共管理用金属标牌制造；交通及公共管理用标牌销售；工艺美术品及礼仪用品制造（象牙及其制品除外）；工艺美术品及礼仪用品销售（象牙及其制品除外）；金属制品修理；金属工具销售；金属结构销售；金属结构制造；金属制品研发；金属表面处理及热处理加工；金属制品销售；安全、消防用金属制品制造；五金产品制造；金属链条及其他金属制品制造；塑料制品制造；塑料制品销售；电力设施器材销售；电力设施器材制造；工程管理服务；信息安全设备制造；工业工程设计服务；交通设施维修；数据处理和存储支持服务；环境保护专用设备销售；电动汽车充电基础设施运营；信息安全设备销售；环境卫生公共设施安装服务；环境保护专用设备制造；市政设施管理；广告发布；广告设计、代理；平面设计；城乡市容管理；广告制作；信息系统运行维护服务；软件开发；软件外包服务；数字视频监控系统销售；网络设备销售；人工智能基础软件开发；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；互联网销售（除销售需要许可的商品）；软件销售；信息技术咨询服务(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)。"
"江苏河海工程建设监理有限公司","王国亮","5580万人民币","1996-04-05","1996-04-05 至 无固定期限","存续","江苏省","南京市","-","有限责任公司","专业技术服务业","91320000134788278F","91320000134788278F","320000000008728","129","南京市西康路１号河海大学院内","-","许可项目：建设工程监理；公路工程监理；水运工程监理；水利工程建设监理；建设工程设计；建设工程质量检测；建设工程勘察；水利工程质量检测；工程造价咨询业务；各类工程建设活动；单建式人防工程监理；人防工程设计（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）一般项目：发电技术服务；工程管理服务；招投标代理服务；水利相关咨询服务；信息技术咨询服务；专业设计服务；工程技术服务（规划管理、勘察、设计、监理除外）；水资源管理；环境应急治理服务；软件开发；工业工程设计服务（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）"
"安徽聿铭建设有限公司","吴光能","1000万人民币","2016-04-29","2016-04-29 至 2046-04-28","存续","安徽省","合肥市","包河区","有限责任公司(自然人投资或控股)","房屋建筑业","91340100MA2MUY9X4A","91340100MA2MUY9X4A","340100001600295","10","合肥市包河区大连路6686号徽商总部广场C-办507室","-","房屋建筑工程，市政公用工程，建筑装修装饰工程，机电设备安装工程，地基与基础工程，钢结构工程，城市园林工程，土石方工程，园林绿化养护，公路工程；物业管理；建筑五金材料销售；建筑装饰装修建设工程设计与施工；机械设备租赁及维修；户外拓展活动的组织与策划、执行；娱乐活动的组织策划、执行；文化活动的组织策划；池塘垂钓休闲活动；广告设计、制作、发布、代理；灯箱广告制作服务；路牌广告制作服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
"安徽宜采商贸有限公司","周腾","1000万人民币","2019-11-11","2019-11-11 至 无固定期限","存续","安徽省","安庆市","迎江区","有限责任公司(自然人独资)","批发业","91340800MA2U9Q7F5G","91340800MA2U9Q7F5G","340800000299984","1","安徽省安庆市迎江区皖江大道1189号安庆碧桂园凤凰商业中心商业街123室","-","一般项目：第一类医疗器械销售；第二类医疗器械销售；第一类医疗器械租赁；第二类医疗器械租赁；劳动保护用品销售；特种劳动防护用品销售；卫生用品和一次性使用医疗用品销售；建筑材料销售；五金产品零售；文具用品零售；办公用品销售；体育用品及器材零售；电子产品销售；家用电器销售；消防器材销售；农业机械销售；机械设备销售；农业机械租赁；环境保护专用设备销售；汽车销售；玩具销售；教学专用仪器销售；医护人员防护用品零售；消毒剂销售（不含危险化学品）；潜水救捞装备销售；智能无人飞行器销售；教学用模型及教具销售；导航、测绘、气象及海洋专用仪器销售；森林经营和管护；森林改培；树木种植经营；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）许可项目：第三类医疗器械经营；第三类医疗器械租赁；医疗器械互联网信息服务（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）"
"常州瑞信电子科技有限公司","孙德银","2000万人民币","2010-01-07","2010-01-07 至 无固定期限","存续","江苏省","常州市","新北区","有限责任公司(自然人投资或控股)","仪器仪表制造业","91320411699366144Q","91320411699366144Q","320407000129384","23","常州市新北区科技园2号楼创业中心A座360","http://www.ruixin.co","许可项目：建设工程施工；电气安装服务（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；电工仪器仪表制造；电工仪器仪表销售；供应用仪器仪表制造；供应用仪器仪表销售；智能仪器仪表制造；智能仪器仪表销售；工业控制计算机及系统制造；工业控制计算机及系统销售；物联网设备制造；物联网设备销售；配电开关控制设备制造；配电开关控制设备销售；云计算设备制造；信息系统集成服务；物联网技术服务；物联网应用服务；云计算设备销售；5G通信技术服务；工业互联网数据服务；软件开发；人工智能应用软件开发；合同能源管理（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）"
"安徽国耀通信科技有限公司","陈浩","2006万人民币","2010-11-29","2010-11-29 至 无固定期限","存续","安徽省","六安市","金安区","有限责任公司(自然人投资或控股)","批发业","91341500566352232A","91341500566352232A","341500000053692","54","安徽省六安经济开发区皋城路与经三路交叉口（科创中心）","http://www.ahguoyao.com/","计算机软硬件研发、生产、销售；信息安全工程咨询、测评、实施；教育设备研发、生产、销售；建筑智能化工程设计与施工；楼宇自控与建筑节能工程；计算机信息系统集成与咨询监理服务；通信与广电信息网络系统集成、维护；安全技术防范工程设计、施工；音视频工程设计与施工；舞台灯光机械工程设计与施工；计算机相关产品代理与销售；机电消防设备销售与安装；亮化照明设备销售与安装；防雷工程设计与施工；计算机网络机房设计与施工；自营和代理各类商品及技术的进出口业务（国家限定经营或禁止除外）；节能产品及技术研发、设计、销售、改造及节能服务；第二类增值电信业务的信息服务；代理通信运营商授权业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）"
