"company_name","business_status","legal_representative","registered_capital","paid_in_capital","establishment_date","approval_date","business_term","province","city","district","phone","additional_phones","email","additional_emails","unified_social_credit_code","taxpayer_identification_number","business_registration_number","organization_code","insured_personnel_count","company_type","industry","former_name","registered_address","latest_annual_report_address","website","business_scope","match_status"
"安徽格蕴市政建材有限公司","开业","王国庆","10000000","5000000","14/12/2007 00:00:00","29/8/2018 00:00:00","2007-12-14 至 2037-12-13","安徽省","合肥市","瑶海区","13485679932","15156022306,13855181622,18715047351,18855127042,0551-65426908","857320169@qq.com","474519298@qq.com","91340100669479690J","91340100669479690J","340121000003283","66947969-0","31","有限责任公司(自然人投资或控股)","非金属矿物制品业","-","安徽省合肥市新站区三十头镇三元大道","安徽省合肥市新站区三十头镇三元大道","www.ahgyjc.com","市政设施产品研发、销售、安装施工；水泥预制品、通用建材销售；复合井盖生产、销售；建材机械销售、安装技术咨询。","成功"
"华升富士达电梯有限公司","开业","陶永铭","708040000","708040000","12/12/1995 00:00:00","14/6/2024 00:00:00","1995-12-12 至 2035-12-11","河北省","廊坊市","广阳区","025-84700450","010-88488618,13686826387,0316-6088475,0316-2606511,0316-6849026","plan@fujitec.com.cn","-","911310006013492757","911310006013492757","130000400002092","60134927-5","860","有限责任公司(中外合资)","电气机械和器材制造业","华北富士达电梯有限公司","河北省廊坊经济技术开发区春明道７号","河北省廊坊经济技术开发区春明道7号","www.fujitec.cn","许可项目：特种设备制造；特种设备设计；特种设备安装改造修理；特种设备检验检测。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：特种设备销售；通用设备制造（不含特种设备制造）；机械电气设备制造；通用零部件制造；机械零件、零部件加工；机械设备销售；机械电气设备销售；机械零件、零部件销售；销售代理；普通机械设备安装服务；电气设备修理；通用设备修理；电子、机械设备维护（不含特种设备）；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）","成功"
"合肥恒久建设工程有限责任公司","开业","倪有恒","42980000","8000000","22/7/2010 00:00:00","21/7/2023 00:00:00","-","安徽省","合肥市","肥西县","13905606156","0551-68269678,0551-68848457,13955113776,0551-68850035","307733040@qq.com","1808019516@qq.com,1292892675@qq.com","9134012355921398XA","9134012355921398XA","340123000052966","55921398-X","10","有限责任公司(自然人投资或控股)","房屋建筑业","-","安徽省合肥市肥西县官亭镇王集路C11西001号","安徽省合肥市肥西县官亭镇王集路C11西001号","-","房屋建筑工程；市政工程；装饰装修工程施工与设计；园林绿化工程施工；苗木培植、销售；园林花卉培育、租赁；水利水电工程；建筑智能设计及施工；桥梁工程；体育场地工程；钢结构工程；门窗工程；消防设施安装工程；防腐、防水、保温工程；园林古建筑工程；环保工程；城市及道路照明、亮化工程；房屋修缮；清扫保洁；道路保洁；房屋拆迁（拆除）；交通标志标识工程；标识标牌设计与制作；管道非开挖修复；物业服务；建筑劳务分包；顶管工程；苗木培育与销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","成功"
"安徽鼎晖建设工程有限公司","开业","纪明宗","67890000","2000000","23/1/2014 00:00:00","22/8/2022 00:00:00","-","安徽省","合肥市","肥东县","17505516685","0556-8931069,0556-8978928,0551-62875977,18756087732,18697500921","348025117@qq.com","-","9134010009079822XQ","9134010009079822XQ","340100000901725","09079822-X","38","有限责任公司(自然人投资或控股)","房屋建筑业","-","合肥市肥东县包公镇政府办公楼430室","合肥市肥东县包公镇政府办公楼430室","-","建筑工程施工总承包；公路工程、桥梁工程、电力工程、机电工程、地质灾害治理工程、园林绿化工程、市政公用工程、水利工程、环保、节能与防腐工程、外墙保温工程、公路交通工程、公路路面工程、公路路基工程、城市道路照明工程、体育场地设施工程、房屋修缮工程、结构补强工程、建筑物纠偏和平移工程、钢结构工程、地基基础工程、消防设施工程、古建筑工程、实验室通风及供气工程、自动化控制工程、洁净净化工程、恒温恒湿工程、辐射防护、磁屏蔽工程施工；园林景观、雕塑设计及施工；室内外装饰装修、建筑智能化、安全技术防范工程、实验室整体建设设计与施工；金属门窗、机电设备、标牌、灯箱安装；广告设计、制作、发布；计算机系统集成；展会设计、制作、布展；房屋拆迁、拆除；清扫保洁；护栏、交通设施销售、安装；施工劳务分包；建材、石材销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","成功"
"合肥市规划设计研究院;安徽省金田建筑设计咨询有限责任公司","-","-","0","0","1/1/1970 00:00:00","1/1/1970 00:00:00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","失败"
"安徽省新同济工程咨询集团有限公司","开业","吴志昂","30000000","11500000","4/3/2003 00:00:00","9/1/2023 00:00:00","-","安徽省","合肥市","包河区","0556-6122887","18055401911,13866029722,0551-63629541,13966623779,13909630961","2927877915@qq.com","42774586@qq.com,2457156551@qq.com,1010297279@qq.com","91340100746790272T","91340100746790272T","340000000003381","74679027-2","98","有限责任公司(自然人投资或控股)","公共设施管理业","-","合肥市包河区繁华大道5055号联东U谷53-2幢","合肥市包河区繁华大道5055号联东U谷53-2幢","www.ahxtj.com","许可项目：建设工程勘察；建设工程设计；测绘服务；建设工程监理；文物保护工程施工；地质灾害治理工程施工；建筑劳务分包；施工专业作业；建设工程施工；水利工程建设监理；路基路面养护作业；公路管理与养护；地质灾害危险性评估；安全评价业务；公路工程监理；水运工程监理；文物保护工程监理；单建式人防工程监理（依法须经批准的项目，经相关部门批准后方可开展经营活动）一般项目：工程管理服务；政府采购代理服务；工程造价咨询业务；工程技术服务（规划管理、勘察、设计、监理除外）；水土流失防治服务；水利相关咨询服务；水环境污染防治服务；安全咨询服务；机械设备租赁；建筑材料销售；土石方工程施工；园林绿化工程施工；信息技术咨询服务；环保咨询服务（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）","成功"
"安徽省建科建设监理有限公司","开业","陈贤亮","11000000","11000000","20/9/2000 00:00:00","20/6/2023 00:00:00","-","安徽省","合肥市","蜀山区","15856480030","18792009007,0551-63635266,0551-2632472,18005691239,0551-62638494","2695964180@qq.com","ahjkjl@126.com,anjkjl@126.com","91340000723314521C","91340000723314521C","340000000022527","72331452-1","319","有限责任公司(非自然人投资或控股的法人独资)","专业技术服务业","-","安徽省合肥市蜀山区山湖路567号","安徽省合肥市蜀山区山湖路567号","-","许可项目：建设工程监理；公路工程监理；水利工程建设监理；单建式人防工程监理（依法须经批准的项目，经相关部门批准后方可开展经营活动）一般项目：工程管理服务；工程造价咨询业务（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）","成功"
"安徽求是工程建设咨询有限公司","开业","洪从胜","12000000","10000000","5/4/2006 00:00:00","29/3/2024 00:00:00","-","安徽省","合肥市","瑶海区","0557-3049266","15385536931,18715152180,18655025801,0551-82626081,15955071598","-","-","91341302786528113C","91341302786528113C","341300000006590","78652811-3","84","有限责任公司(自然人投资或控股)","商务服务业","-","安徽省合肥市新站区学府路1516号合肥智慧产业园A15＃楼702室","安徽省合肥市新站区学府路1516号合肥智慧产业园A15＃楼702室","www.ahqs.com.cn","工程招标代理、工程建设项目管理咨询服务、政府采购代理、货物采购招标代理、工程造价咨询、工程造价纠纷鉴定、工程设计、工程监理、人民防空工程监理、文物保护工程监理、地质灾害防治治理、工程测量、水文地质勘查、建筑材料（不含石料及危险化学品）加工、园林绿化工程施工、公路工程及养护、水利水电工程、房屋建筑工程、市政工程、土石方工程、交通工程、照明及亮化工程、建筑装饰装修工程、钢结构工程、环保工程、桥梁工程、隧道工程、机电安装工程、古建筑工程、地基基础工程、公路路面工程、公路路基工程、公路交通工程设施、地质灾害施工、文物工程施工、工程试验检测、道路建筑材料（不含石料）加工、体育场施工、防水防腐保温工程、石油化工工程、河湖整治工程、堤防工程、水工大坝工程、输变电工程（不含承装（修、试）电力设施）、通信工程、大棚制作安装及配套加工销售、特种专业工程（不含特种设备）、建筑幕墙工程、电子智能化工程、消防设施工程设计及施工、建筑数学模型技术开发、展览陈列工程设计及施工、雕塑设计及施工、施工劳务（不含劳务派遣）、物业管理、卫生保洁、广告标牌、房屋拆除（不含爆破）、档案资料整理。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","成功"
"安徽省建设监理有限公司","开业","朱仁芳","20000000","6000000","19/8/1993 00:00:00","13/3/2023 00:00:00","-","安徽省","安徽省","安徽省","13805643501","0551-82392519,13866161088,0551-3665858,13855898171,0559-4232813","acs_china@126.com","-","91340000148947612F","91340000148947612F","340000000004446","14894761-2","694","有限责任公司(自然人投资或控股)","商务服务业","安徽省建设监理公司","安徽省合肥市包河区徽州大道6669号高速滨湖时代广场C8栋2101","安徽省合肥市包河区徽州大道6669号高速滨湖时代广场C8栋2101","acsc.com.cn","建设监理(综合);工程招标代理;工程造价咨询(乙级);工程建设监理有关规划、设计、施工、设备配套,技术咨询、技术开发。","成功"
"安徽瑞赢建设有限公司","开业","魏芳","20000000","3540000","13/3/2017 00:00:00","29/12/2020 00:00:00","-","安徽省","淮北市","相山区","0551-65268676","18226908599","807688172@qq.com","-","91340123MA2NEMA28P","91340123MA2NEMA28P","340123000163626","MA2NEMA2-8","22","有限责任公司(自然人投资或控股)","土木工程建筑业","-","安徽省淮北市相山区淮海路159号金淮北大厦1#1720","安徽省淮北市相山区淮海路159号金淮北大厦1＃1720","-","水利水电工程、市政公用工程、房屋建筑工程、机电安装工程、公路工程、城市及道路照明工程、园林绿化工程、电力工程、输变电工程、智能化工程、通讯工程、消防设施工程、环保工程、装饰装修工程、地基与基础工程、防水与保温工程、钢结构工程、古建筑工程、体育场地工程、建筑幕墙工程、土石方工程、河湖治理及防洪设施工程、道路工程、交通安全设施安装工程施工，物业服务，防洪除涝设施管理服务，建筑工程机械设备租赁，建设工程项目管理，建设工程招标代理，工程造价咨询，建筑工程预算及审计，商务信息咨询，健康咨询服务，企业形象策划，会议服务，市场营销策划，建筑劳务分包，网络科技领域内的技术开发、技术咨询、技术服务，销售煤炭、煤泥、煤灰、煤矸石（不含仓储，禁止在禁燃区内销售）、砼结构构件、建筑材料、建筑装饰材料、水泥制品、沥青混凝土、五金交电、木材、管道及配件、陶瓷制品、涂料、服装鞋帽、日用百货、文化用品、家用电器、汽车零配件、电气设备、通风设备、金属材料、一类、二类、三类医疗器械、针纺织品、机电设备（不含特种设备）、仪器仪表、通讯设备、电子产品、计算机软硬件及辅助设备、办公用品、一般劳动防护用品、体育用品及器材、玻璃制品、不锈钢制品、金属制品、塑料制品，金属门窗销售、安装，苗木、花卉种植、销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","成功"
"合肥鼎坤建筑装饰工程有限公司","开业","张家甫","12660000","600000","12/12/2013 00:00:00","7/1/2022 00:00:00","2013-12-12 至 2043-12-10","安徽省","合肥市","肥西县","13866666735","13965106105,15205515815,18096611234,18815656777,18158953915","563765474@qq.com","963477748@qq.com,1269655549@qq.com,727370465@qq.com,728739954@qq.com","913401230852268256","913401230852268256","340123000089756","08522682-5","16","有限责任公司(自然人投资或控股)","批发业","-","安徽省合肥市肥西县上派镇三河路与珍珠路交口合肥西南明珠汽车城1-6#楼301室","安徽省合肥市肥西县上派镇三河路与珍珠路交口合肥西南明珠汽车城1-6＃楼301室","-","房屋建筑施工、防腐防火防水工程施工、建筑劳务分包，防古建筑施工、污水处理设计施工、建筑桥梁加固工程、建筑装饰工程、幕墙工程、钢结构工程、门窗工程、水电安装工程、楼宇亮化工程、小区物业服务、小区道路工程、园林景观绿化工程施工及养护、消防工程、建筑智能化工程、安防工程、市政工程设计、施工；建筑材料（不含石灰、黄沙、石子）、五金交电、日用百货、暖通设备、消防设备与材料、建筑智能化设备与材料、安防设备与材料、市政设备与材料销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","成功"
"华设设计集团股份有限公司","开业","杨卫东","683780952","71240429","12/8/2005 00:00:00","9/1/2024 00:00:00","-","江苏省","南京市","秦淮区","6580300","13401777241,18551867397,19928099688,18668226118,0558-2250056","-","-","91320000780270414F","91320000780270414F","320000000055250","78027041-4","2617","股份有限公司(上市)","专业技术服务业","中设设计集团股份有限公司","南京市秦淮区紫云大道9号","江苏省南京市秦淮区紫云大道9号","61.132.52.22","许可项目：建设工程设计；建设工程勘察；测绘服务；国土空间规划编制；建筑智能化系统设计；地质灾害治理工程设计；地质灾害治理工程勘查；建设工程施工；公路管理与养护（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）一般项目：规划设计管理；工程管理服务；基础地质勘查；工程造价咨询业务；环保咨询服务；水污染治理；固体废物治理；土壤污染治理与修复服务；环境应急治理服务；工程技术服务（规划管理、勘察、设计、监理除外）；工程和技术研究和试验发展；安全技术防范系统设计施工服务；智能水务系统开发；对外承包工程；信息系统集成服务；软件开发；科技推广和应用服务；互联网数据服务；物联网技术研发；物联网技术服务；工业互联网数据服务；人工智能公共数据平台；人工智能基础资源与技术平台；人工智能应用软件开发；区块链技术相关软件和服务；在线能源监测技术研发；新兴能源技术研发；储能技术服务；节能管理服务；人工智能双创服务平台；创业空间服务；智能车载设备制造；专用设备制造（不含许可类专业设备制造）；市政设施管理；货物进出口；技术进出口；物业管理；非居住房地产租赁（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）","成功"
"新政建设集团有限公司","开业","卢胜","118880000","31500000","22/12/2008 00:00:00","7/3/2024 00:00:00","2008-12-22 至 2028-12-22","安徽省","合肥市","长丰县","19909696223","0551-64514316,15156095488,0551-65726619,0551-65726620,0511-64219934","1158079008@qq.com","502951336@qq.com,874900215@qq.com,421714876@qq.com","91340100683607804G","91340100683607804G","340108000028570","68360780-4","84","其他有限责任公司","土木工程建筑业","-","安徽省合肥市长丰县双墩镇奥青城二期B26栋103室","安徽省合肥市长丰县双墩镇奥青城二期B26栋103室","www.xinzhenggroup.cn","市政公用工程、公路工程、公路养护、环境污染治理、水利水电工程、房屋建筑工程、桥梁工程、地基与基础工程、土石方工程施工；园林绿化施工；建材产品批发；建材零售（以上除危险品）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）","成功"
"苏州建筑装饰设计研究院有限公司","开业","唐勇","10110000","10110000","11/1/1999 00:00:00","31/8/2023 00:00:00","1999-01-11 至 2029-01-10","江苏省","苏州市","姑苏区","8293066","15327200952,0515-88501168,0512-68299706,0512-68299550,68500069","107585196@qq.com","zhouxiaoqin@goldmantis.com","91320508713249084B","91320508713249084B","320500000047738","71324908-4","96","有限责任公司(自然人投资或控股)","建筑装饰、装修和其他建筑业","-","苏州市沧浪区念珠街105号","苏州市沧浪区念珠街105号","-","建筑室内外装饰设计、环境艺术设计。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
许可项目：建设工程设计；艺术品进出口；各类工程建设活动（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）
一般项目：专业设计服务；文艺创作；广告设计、代理；日用百货销售（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）","成功"
"华新建工集团有限公司","开业","陶宝华","500228800","500228800","12/5/1998 00:00:00","23/8/2022 00:00:00","-","江苏省","南通市","海安市","021-38931426","0510-82724698,0519-89863687,18914329199,13100261517,0513-88905020","nthxhr@126.com","nthxrsk@163.com","913206217037355485","913206217037355485","320621000113040","70373554-8","1327","有限责任公司(自然人投资或控股)","房屋建筑业","南通华新建工集团有限公司","海安市海安镇中坝南路99号","海安市海安镇中坝南路99号","www.hxjgjt.cc","建筑工程施工总承包特级；市政公用工程施工总承包一级；起重设备安装工程专业承包壹级；机电设备安装工程专业承包一级；建筑装修装饰工程专业承包一级；地基与基础工程专业承包一级；钢结构工程专业承包一级；公路工程施工总承包叁级；铁路工程施工总承包叁级；航道工程专业承包二级；环保工程专业承包二级；消防设施工程专业承包二级；勘察设计；房地产开发；承包与其实力、规模、业绩相适应的国外工程项目、对外派遣实施上述境外工程所需的劳务人员；国际国内商贸代理服务；自营各类商品的进出口业务；混凝土预制构件生产与销售；园林绿化服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
许可项目：建筑劳务分包（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）
一般项目：建筑工程机械与设备租赁（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）","成功"
